country,latitude,longitude,continent,reg_latitude,reg_longitude,ISO3,REGION,GEO3
Japan,36.204824,138.252924,East Asia,38.7946,106.5348,JPN,Asia,NW Pacific and East Asia
Kenya,-0.023559,37.906193,Africa,8.7832,29.5085,KEN,Africa,Eastern Africa
Kyrgyzstan,41.20438,74.766098,Central Asia,45.4507,68.8319,KGZ,Asia,Central Asia
Cambodia,12.565679,104.990963,East Asia,38.7946,106.5348,KHM,Asia,Southeast Asia
Kiribati,-3.370417,-168.734039,Oceania,-25.2744,148.7751,KIR,Australia,South Pacific
Comoros,-11.875001,43.872219,Africa,8.7832,29.5085,COM,Africa,Western Indian Ocean
Saint Kitts and Nevis,17.357822,-62.782998,Caribbean,21.4691,-78.6569,KNA,South America,Caribbean
North Korea,40.339852,127.510093,East Asia,38.7946,106.5348,PRK,Asia,NW Pacific and East Asia
"Korea, Republic of",35.907757,127.766922,East Asia,38.7946,106.5348,KOR,Asia,NW Pacific and East Asia
Kuwait,29.31166,47.481766,Middle East,29.2985,42.551,KWT,Asia,Mashriq
Cayman Islands,19.513469,-80.566956,Caribbean,21.4691,-78.6569,CYM,South America,Caribbean
Kazakhstan,48.019573,66.923684,Central Asia,45.4507,68.8319,KAZ,Asia,Central Asia
Laos,19.85627,102.495496,East Asia,38.7946,106.5348,LAO,Asia,Southeast Asia
Lebanon,33.854721,35.862285,Middle East,29.2985,42.551,LBN,Asia,Mashriq
Saint Lucia,13.909444,-60.978893,Caribbean,21.4691,-78.6569,LCA,South America,Caribbean
Liechtenstein,47.166,9.555373,Europe,48.499998,18.3833318,LIE,Europe,Western Europe
Sri Lanka,7.873054,80.771797,East Asia,38.7946,106.5348,LKA,Asia,South Asia
Liberia,6.428055,-9.429499,Africa,8.7832,29.5085,LBR,Africa,Western Africa
Lesotho,-29.609988,28.233608,Africa,8.7832,29.5085,LSO,Africa,Southern Africa
Lithuania,55.169438,23.881275,Europe,48.499998,18.3833318,LTU,Europe,Central Europe
Luxembourg,49.815273,6.129583,Europe,48.499998,18.3833318,LUX,Europe,Western Europe
Latvia,56.879635,24.603189,Europe,48.499998,18.3833318,LVA,Europe,Central Europe
Libya,26.3351,17.228331,Africa,8.7832,29.5085,LBY,Africa,North Africa
Morocco,31.791702,-7.09262,Africa,8.7832,29.5085,MAR,Africa,North Africa
Monaco,43.750298,7.412841,Europe,48.499998,18.3833318,MCO,Europe,Western Europe
Moldova,47.411631,28.369885,Europe,48.499998,18.3833318,MDA,Europe,Eastern Europe
